timestamp,attention,meditation,state
1703119613.025719,61,53,relax
1703119614.0287418,54,54,relax
1703119615.031769,70,61,relax
1703119616.0434666,51,56,relax
1703119617.0517757,47,53,relax
1703119618.0638885,44,51,relax
1703119619.0739927,26,63,relax
1703119620.0838685,26,69,relax
1703119621.0938141,27,78,relax
1703119622.1058314,43,94,relax
1703119623.117867,41,70,focus
1703119624.1317508,47,70,focus
1703119625.146861,47,61,focus
1703119626.1583614,40,50,focus
1703119627.1662302,44,57,focus
1703119628.1739728,53,64,focus
1703119629.186952,67,74,focus
1703119630.1946728,67,74,focus
1703119631.2016425,84,78,focus
1703119632.204659,100,83,focus
1703119633.2156882,100,77,focus
1703119634.231816,100,77,focus
1703119635.2439332,100,77,focus
1703119636.2471232,100,77,focus
1703119637.248181,100,77,focus
1703119638.2612598,100,77,focus
1703119639.2743657,100,77,focus
1703119640.2792206,100,87,focus
1703119641.2954483,88,96,focus
1703119642.3012664,74,91,focus
1703119643.3036957,66,80,relax
1703119644.3152628,60,57,relax
1703119645.3255763,60,57,relax
1703119646.32984,74,37,relax
1703119647.3448853,67,54,relax
1703119648.3566718,70,50,relax
1703119649.3663385,66,61,relax
1703119650.368426,66,54,relax
1703119651.3807538,66,54,relax
1703119652.3950865,66,54,relax
1703119653.3953035,61,24,relax
1703119654.3994098,54,37,relax
1703119655.401464,53,41,relax
1703119656.4116552,53,50,relax
1703119657.415711,64,54,relax
1703119658.4280183,63,53,relax
1703119659.4306462,74,50,relax
1703119660.4321105,64,51,relax
1703119661.4437346,75,69,relax
1703119662.4513457,60,51,relax
1703119663.4540355,54,43,relax
1703119664.4553947,50,35,relax
1703119665.4692523,41,21,relax
1703119666.4840243,51,40,relax
1703119667.492737,44,37,relax
1703119668.5028152,56,48,relax
1703119669.5162191,56,56,relax
1703119670.5223062,60,54,relax
1703119671.5276165,60,54,relax
1703119672.536262,60,54,focus
1703119673.5380375,60,54,focus
1703119674.5440361,67,67,focus
1703119675.5479305,57,61,focus
1703119676.5629964,38,53,focus
1703119677.5655305,48,60,focus
1703119678.5783103,60,66,focus
1703119679.585549,81,63,focus
1703119680.58812,100,61,focus
1703119681.6032073,100,56,focus
1703119682.6052082,100,56,focus
1703119683.6190884,100,43,focus
1703119684.6355498,100,50,focus
1703119685.6483986,100,53,focus
1703119686.659486,97,53,focus
1703119687.6628366,75,57,focus
1703119688.675242,61,64,focus
1703119689.6832511,56,67,focus
1703119690.6956134,56,67,focus
1703119691.708253,77,56,focus
1703119692.709303,88,57,relax
1703119693.715609,88,51,relax
1703119694.7243495,84,54,relax
1703119695.7276523,84,54,relax
1703119696.7284052,84,54,relax
1703119697.7317755,64,70,relax
1703119698.738588,53,63,relax
1703119699.7505379,47,67,relax
1703119700.7516565,40,53,relax
1703119701.755514,35,50,relax
1703119702.7624557,35,63,relax
1703119703.7680511,27,51,relax
1703119704.770411,29,56,relax
1703119705.7818995,27,61,relax
1703119706.7980258,23,44,relax
1703119707.8066401,29,50,relax
1703119708.8136768,29,50,relax
1703119709.8241687,29,50,relax
1703119710.8370812,29,50,relax
1703119711.8414836,11,37,relax
1703119712.8575127,20,26,relax
1703119713.8679974,30,43,relax
1703119714.8698268,38,38,relax
1703119715.8805878,51,47,relax
1703119716.8825774,53,48,relax
1703119717.8946612,47,40,relax
1703119718.9037738,51,61,relax
1703119719.910743,63,66,relax
1703119720.9126773,63,66,relax
1703119721.9238262,63,66,relax
1703119722.9318023,44,60,focus
1703119723.9477186,40,60,focus
1703119724.9611714,34,44,focus
1703119725.97483,24,57,focus
1703119726.9858124,24,57,focus
1703119727.9887447,41,74,focus
1703119728.9982963,53,81,focus
1703119730.014741,54,81,focus
1703119731.0258486,61,64,focus
1703119732.0387495,61,48,focus
1703119733.041765,60,56,focus
1703119734.046016,67,61,focus
1703119735.0618405,74,67,focus
1703119736.071821,64,70,focus
1703119737.0828247,61,74,focus
1703119738.0878358,48,78,focus
1703119739.103827,41,80,focus
1703119740.117852,51,74,focus
1703119741.132876,51,74,focus
1703119742.1413023,51,74,focus
1703119743.144765,51,74,relax
1703119744.1462202,44,63,relax
1703119745.1549718,57,48,relax
1703119746.1690328,64,35,relax
1703119747.1739178,61,48,relax
1703119748.1820292,77,43,relax
1703119749.1960456,61,50,relax
1703119750.2121751,35,54,relax
1703119751.226057,27,54,relax
1703119752.2279775,27,67,relax
1703119753.2290087,40,54,relax
1703119754.2310994,60,57,relax
1703119755.2371893,61,53,relax
1703119756.2530274,43,41,relax
1703119757.2540448,30,56,relax
1703119758.2650638,24,61,relax
1703119759.2700832,23,48,relax
1703119760.2792876,35,41,relax
1703119761.292082,41,37,relax
1703119762.3066711,40,35,relax
1703119763.3102615,48,41,relax
1703119764.326162,38,38,relax
1703119765.3332388,38,38,relax
1703119766.3443193,38,38,relax
1703119767.3551784,37,30,relax
1703119768.3681762,41,47,relax
1703119769.3842037,37,47,relax
1703119770.3864694,48,61,relax
1703119771.3999617,53,61,relax
1703119772.4073622,35,26,relax
1703119773.4193206,37,38,focus
1703119774.432243,35,29,focus
1703119775.434364,29,30,focus
1703119776.4383588,47,48,focus
1703119777.453157,53,48,focus
1703119778.4593093,37,43,focus
1703119779.4718943,29,38,focus
1703119780.486423,16,30,focus
1703119781.4874396,17,34,focus
1703119782.501297,37,41,focus
1703119783.50904,50,57,focus
1703119784.5233843,70,74,focus
1703119785.527901,69,48,focus
1703119786.5301466,67,48,focus
1703119787.5312643,63,51,focus
1703119788.5469272,57,48,focus
1703119789.5613563,57,48,focus
1703119790.571789,57,48,focus
1703119791.5834677,57,48,focus
1703119792.5944836,53,69,relax
1703119793.600501,54,64,relax
1703119794.6043508,61,51,relax
1703119795.6065989,57,44,relax
1703119796.620949,60,40,relax
1703119797.6265965,63,48,relax
1703119798.6288586,67,43,relax
1703119799.634345,67,43,relax
1703119800.638015,67,43,relax
1703119801.653596,56,48,relax
1703119802.6640842,53,56,relax
1703119803.6688805,43,57,relax
1703119804.6709023,43,57,relax
1703119805.6755574,43,57,relax
1703119806.6879334,20,74,relax
1703119807.697939,29,75,relax
1703119808.709883,34,70,relax
1703119809.7126756,37,56,relax
1703119810.714312,48,51,relax
1703119811.721862,48,51,relax
1703119812.732322,48,51,relax
1703119813.742909,48,51,relax
1703119814.7527597,44,60,relax
1703119815.7598202,43,63,relax
1703119816.7662797,27,56,relax
1703119817.771361,21,50,relax
1703119818.7720804,20,41,relax
1703119819.7751894,20,41,relax
1703119820.7880054,20,41,relax
1703119821.7934368,11,29,relax
1703119822.8031723,23,38,focus
1703119823.8044589,23,43,focus
1703119824.8079872,27,50,focus
1703119825.821232,29,40,focus
1703119826.8223739,26,40,focus
1703119827.8224847,34,41,focus
1703119828.8319163,37,24,focus
1703119829.8414032,40,43,focus
1703119830.8439455,51,51,focus
1703119831.8582585,53,57,focus
1703119832.8600645,41,78,focus
1703119833.8718235,41,78,focus
1703119834.8772447,41,78,focus
1703119835.8913333,41,78,focus
1703119836.9000764,54,78,focus
1703119837.9069824,66,80,focus
1703119838.9081955,74,64,focus
1703119839.9223785,83,66,focus
1703119840.9255345,83,66,focus
1703119841.9288342,83,66,focus
1703119842.9335093,90,56,relax
1703119843.9412363,83,64,relax
1703119844.9544857,70,77,relax
1703119845.963745,64,63,relax
1703119846.9685204,64,63,relax
1703119847.9713593,57,74,relax
1703119848.979175,57,64,relax
1703119849.9919274,69,50,relax
1703119850.9931793,77,50,relax
1703119851.9981995,67,43,relax
1703119853.0078917,74,43,relax
1703119854.0144508,70,51,relax
1703119855.0304158,88,47,relax
1703119856.0385945,88,47,relax
1703119857.0486188,100,48,relax
1703119858.0526993,88,35,relax
1703119859.0656722,70,26,relax
1703119860.069885,51,40,relax
1703119861.083033,26,43,relax
1703119862.086881,29,63,relax
1703119863.0994272,27,53,relax
1703119864.1060638,17,40,relax
1703119865.1208584,26,40,relax
1703119866.136278,27,34,relax
1703119867.143462,37,66,relax
1703119868.1523743,47,75,relax
1703119869.1548395,53,75,relax
1703119870.168212,53,75,relax
1703119871.1738079,53,75,relax
1703119872.1747355,53,75,relax
1703119873.1769657,43,67,focus
1703119874.1926272,50,61,focus
1703119875.1957912,40,56,focus
1703119876.2107887,27,53,focus
1703119877.225848,35,64,focus
1703119878.242226,23,44,focus
1703119879.247828,23,44,focus
1703119880.2583125,23,44,focus
1703119881.2698388,23,44,focus
1703119882.2765622,11,47,focus
1703119883.282633,11,47,focus
1703119884.2894826,11,47,focus
1703119885.2998614,11,47,focus
1703119886.306633,11,47,focus
1703119887.3147974,11,47,focus
1703119888.3307443,11,47,focus
1703119889.338771,11,47,focus
1703119890.3489974,11,47,focus
1703119891.3576832,16,43,focus
1703119892.3717933,16,43,focus
1703119893.3758593,16,43,relax
1703119894.3817787,16,43,relax
1703119895.3883877,21,47,relax
1703119896.3987355,34,51,relax
1703119897.4138093,44,47,relax
1703119898.4187782,47,64,relax
1703119899.4207268,47,64,relax
1703119900.4338875,47,64,relax
1703119901.4421906,48,47,relax
1703119902.452945,48,50,relax
1703119903.4621341,57,51,relax
